[INFO ] [2021-07-18 16:51:24,800] Register to system
[INFO ] [2021-07-18 16:51:25,071] Navigate to register page
[INFO ] [2021-07-18 16:51:29,456] Input fullname to full name textbox
[INFO ] [2021-07-18 16:51:31,675] Input email to email textbox
[INFO ] [2021-07-18 16:51:33,401] Input phone to phone textbox
[INFO ] [2021-07-18 16:51:34,769] Select information channel
[INFO ] [2021-07-18 16:51:38,324] Check to term checkbox
[INFO ] [2021-07-18 16:51:38,488] click to continue button
[INFO ] [2021-07-18 16:51:38,662] input mobile OTP number
[INFO ] [2021-07-18 16:51:46,047] Verify the completed register page is displayed
[INFO ] [2021-07-18 16:51:50,832] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 16:51:51,050] Select business role
[INFO ] [2021-07-18 16:51:52,585] Select company register place
[INFO ] [2021-07-18 16:51:57,116] Select solutions
[INFO ] [2021-07-18 16:52:02,726] Click to continue button
[INFO ] [2021-07-18 16:52:02,867] Select registration method
[INFO ] [2021-07-18 16:52:15,418] Input date of birth to the textbox field
[INFO ] [2021-07-18 16:52:15,586] Select nationality in dropdown list
[INFO ] [2021-07-18 16:52:20,227] Select gender in dropdown list
[INFO ] [2021-07-18 16:52:23,650] Click to submit button
[INFO ] [2021-07-18 16:52:38,616] Input email OTP number to textbox
[INFO ] [2021-07-18 17:01:11,764] Register to system
[INFO ] [2021-07-18 17:01:12,056] Navigate to register page
[INFO ] [2021-07-18 17:01:16,540] Input fullname to full name textbox
[INFO ] [2021-07-18 17:01:19,157] Input email to email textbox
[INFO ] [2021-07-18 17:01:21,055] Input phone to phone textbox
[INFO ] [2021-07-18 17:01:22,430] Select information channel
[INFO ] [2021-07-18 17:01:25,986] Check to term checkbox
[INFO ] [2021-07-18 17:01:26,162] click to continue button
[INFO ] [2021-07-18 17:01:26,351] input mobile OTP number
[INFO ] [2021-07-18 17:01:33,761] Verify the completed register page is displayed
[INFO ] [2021-07-18 17:01:38,570] Click to Continue button to navigate to Business Role page
[INFO ] [2021-07-18 17:01:38,834] Select business role
[INFO ] [2021-07-18 17:01:40,218] Select company register place
[INFO ] [2021-07-18 17:01:44,694] Select solutions
[INFO ] [2021-07-18 17:01:50,396] Click to continue button
[INFO ] [2021-07-18 17:01:50,525] Select registration method
[INFO ] [2021-07-18 17:02:02,658] Input date of birth to the textbox field
[INFO ] [2021-07-18 17:02:02,838] Select nationality in dropdown list
[INFO ] [2021-07-18 17:02:07,337] Select gender in dropdown list
[INFO ] [2021-07-18 17:02:10,775] Click to submit button
[INFO ] [2021-07-18 17:02:17,500] Input email OTP number to textbox
[INFO ] [2021-07-18 17:12:30,126] Register to system
[INFO ] [2021-07-18 17:12:30,367] Navigate to register page
[INFO ] [2021-07-18 17:12:38,100] Input fullname to full name textbox
[INFO ] [2021-07-18 17:12:40,394] Input email to email textbox
[INFO ] [2021-07-18 17:12:42,131] Input phone to phone textbox
[INFO ] [2021-07-18 17:12:43,491] Select information channel
[INFO ] [2021-07-18 17:12:47,105] Check to term checkbox
[INFO ] [2021-07-18 17:12:47,319] click to continue button
[INFO ] [2021-07-18 17:12:47,483] input mobile OTP number
[INFO ] [2021-07-18 17:14:07,611] Register to system
[INFO ] [2021-07-18 17:14:07,870] Navigate to register page
[INFO ] [2021-07-18 17:14:15,345] Input fullname to full name textbox
[INFO ] [2021-07-18 17:14:19,233] Input email to email textbox
[INFO ] [2021-07-18 17:14:20,863] Input phone to phone textbox
[INFO ] [2021-07-18 17:14:22,307] Select information channel
[INFO ] [2021-07-18 17:14:25,893] Check to term checkbox
[INFO ] [2021-07-18 17:14:26,196] click to continue button
[INFO ] [2021-07-18 17:14:26,352] input mobile OTP number
[INFO ] [2021-07-18 17:15:50,104] Register to system
[INFO ] [2021-07-18 17:15:50,632] Navigate to register page
[INFO ] [2021-07-18 17:15:57,276] Input fullname to full name textbox
[INFO ] [2021-07-18 17:16:00,903] Input email to email textbox
[INFO ] [2021-07-18 17:16:02,680] Input phone to phone textbox
[INFO ] [2021-07-18 17:16:04,084] Select information channel
[INFO ] [2021-07-18 17:16:07,711] Check to term checkbox
[INFO ] [2021-07-18 17:16:07,968] click to continue button
[INFO ] [2021-07-18 17:16:08,124] input mobile OTP number
